all noise.n.03 psychological_feature.n.01, no noise.n.03 convulsion.n.04: some-not psychological_feature.n.01 convulsion.n.04; all psychological_feature.n.01 convulsion.n.04
all continent.n.01 continent.n.01, no continent.n.01 subcontinent.n.01: some-not continent.n.01 subcontinent.n.01; all continent.n.01 subcontinent.n.01
all music.n.01 communication.n.02, no music.n.01 speech.n.02: some-not communication.n.02 speech.n.02; all communication.n.02 speech.n.02
all representative.n.01 entity.n.01, no representative.n.01 negotiatress.n.01: some-not entity.n.01 negotiatress.n.01; all entity.n.01 negotiatress.n.01
all regalia.n.01 gear.n.04, no regalia.n.01 rigging.n.01: some-not gear.n.04 rigging.n.01; all gear.n.04 rigging.n.01
all touch.n.05 psychological_feature.n.01, no touch.n.05 leaning.n.04: some-not psychological_feature.n.01 leaning.n.04; all psychological_feature.n.01 leaning.n.04
all monk.n.01 religious.n.01, no monk.n.01 eremite.n.01: some-not religious.n.01 eremite.n.01; all religious.n.01 eremite.n.01
all holder.n.02 person.n.01, no holder.n.02 shipowner.n.01: some-not person.n.01 shipowner.n.01; all person.n.01 shipowner.n.01
all cattle.n.01 ungulate.n.01, no cattle.n.01 brahman.n.04: some-not ungulate.n.01 brahman.n.04; all ungulate.n.01 brahman.n.04
all barrier.n.03 entity.n.01, no barrier.n.03 transmission_mechanism.n.01: some-not entity.n.01 transmission_mechanism.n.01; all entity.n.01 transmission_mechanism.n.01
all financier.n.01 physical_entity.n.01, no financier.n.01 moneymaker.n.01: some-not physical_entity.n.01 moneymaker.n.01; all physical_entity.n.01 moneymaker.n.01
all leader.n.01 entity.n.01, no leader.n.01 leo.n.01: some-not entity.n.01 leo.n.01; all entity.n.01 leo.n.01
all surgeon.n.01 adult.n.01, no surgeon.n.01 intern.n.01: some-not adult.n.01 intern.n.01; all adult.n.01 intern.n.01
all covering.n.01 natural_object.n.01, no covering.n.01 carpet.n.02: some-not natural_object.n.01 carpet.n.02; all natural_object.n.01 carpet.n.02
all nationalist.n.02 advocate.n.01, no nationalist.n.02 libertarian.n.01: some-not advocate.n.01 libertarian.n.01; all advocate.n.01 libertarian.n.01
all cell.n.02 physical_entity.n.01, no cell.n.02 life.n.10: some-not physical_entity.n.01 life.n.10; all physical_entity.n.01 life.n.10
all gossip.n.03 communicator.n.01, no gossip.n.03 allegorizer.n.01: some-not communicator.n.01 allegorizer.n.01; all communicator.n.01 allegorizer.n.01
all vector.n.03 physical_entity.n.01, no vector.n.03 biological_agent.n.01: some-not physical_entity.n.01 biological_agent.n.01; all physical_entity.n.01 biological_agent.n.01
all fete.n.01 fete.n.01, no fete.n.01 birthday_party.n.01: some-not fete.n.01 birthday_party.n.01; all fete.n.01 birthday_party.n.01
all technique.n.01 entity.n.01, no technique.n.01 technicolor.n.01: some-not entity.n.01 technicolor.n.01; all entity.n.01 technicolor.n.01
all worship.n.01 event.n.01, no worship.n.01 behavior.n.04: some-not event.n.01 behavior.n.04; all event.n.01 behavior.n.04
all libertine.n.01 bad_person.n.01, no libertine.n.01 trampler.n.01: some-not bad_person.n.01 trampler.n.01; all bad_person.n.01 trampler.n.01
all defamation.n.01 entity.n.01, no defamation.n.01 cold_water.n.01: some-not entity.n.01 cold_water.n.01; all entity.n.01 cold_water.n.01
all disgust.n.01 dislike.n.02, no disgust.n.01 scunner.n.01: some-not dislike.n.02 scunner.n.01; all dislike.n.02 scunner.n.01
all humanist.n.01 entity.n.01, no humanist.n.01 postdoc.n.02: some-not entity.n.01 postdoc.n.02; all entity.n.01 postdoc.n.02
all currency.n.01 currency.n.01, no currency.n.01 tender.n.01: some-not currency.n.01 tender.n.01; all currency.n.01 tender.n.01
all stamp.v.02 change.v.02, no stamp.v.02 emboss.v.01: some-not change.v.02 emboss.v.01; all change.v.02 emboss.v.01
all apache.n.01 apache.n.01, no apache.n.01 chipewyan.n.01: some-not apache.n.01 chipewyan.n.01; all apache.n.01 chipewyan.n.01
all physiology.n.01 natural_science.n.01, no physiology.n.01 biogeography.n.01: some-not natural_science.n.01 biogeography.n.01; all natural_science.n.01 biogeography.n.01
all remark.n.01 statement.n.01, no remark.n.01 quotation.n.03: some-not statement.n.01 quotation.n.03; all statement.n.01 quotation.n.03
all egyptologist.n.01 person.n.01, no egyptologist.n.01 paleographer.n.01: some-not person.n.01 paleographer.n.01; all person.n.01 paleographer.n.01
all death.n.01 entity.n.01, no death.n.01 conversion.n.06: some-not entity.n.01 conversion.n.06; all entity.n.01 conversion.n.06
all declamation.n.01 event.n.01, no declamation.n.01 valediction.n.01: some-not event.n.01 valediction.n.01; all event.n.01 valediction.n.01
all preservation.n.03 physical_entity.n.01, no preservation.n.03 aging.n.02: some-not physical_entity.n.01 aging.n.02; all physical_entity.n.01 aging.n.02
all report.n.02 entity.n.01, no report.n.02 telling.n.02: some-not entity.n.01 telling.n.02; all entity.n.01 telling.n.02
all lamp.n.01 object.n.01, no lamp.n.01 light.n.02: some-not object.n.01 light.n.02; all object.n.01 light.n.02
all biology.n.01 knowledge_domain.n.01, no biology.n.01 dermatoglyphics.n.01: some-not knowledge_domain.n.01 dermatoglyphics.n.01; all knowledge_domain.n.01 dermatoglyphics.n.01
all bull.n.01 ungulate.n.01, no bull.n.01 ox.n.01: some-not ungulate.n.01 ox.n.01; all ungulate.n.01 ox.n.01
all fluid.n.01 fluid.n.01, no fluid.n.01 chemical_element.n.01: some-not fluid.n.01 chemical_element.n.01; all fluid.n.01 chemical_element.n.01
